"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2019-11-02 - Devils 5, Hurricanes 3","Carolina Hurricanes","Limited ReportFull Report","60","54","46","54.00","41","36","53.25","27","26","50.94","3","5","37.50","2.58","3.61","41.64","29","29","50.00","14","15","48.28","9","11","45.00","3","4","42.86","33.33","63.64","15","14","51.72","4","9","30.77","0","0","-","0.00","100.00","23","13","63.89","14","4","77.78","0","0","-","0.00","100.00","11.11","80.77","0.919","15079"
"2019-11-05 - Hurricanes 1, Flyers 4","Carolina Hurricanes","Limited ReportFull Report","60","61","43","58.65","48","32","60.00","34","28","54.84","1","4","20.00","3.3","1.56","67.91","21","18","53.85","12","7","63.16","8","5","61.54","1","2","33.33","12.50","60.00","9","11","45.00","7","7","50.00","0","2","0.00","0.00","71.43","31","15","67.39","18","10","64.29","0","0","-","0.00","100.00","2.94","85.71","0.887","16172"
"2019-11-07 - Rangers 4, Hurricanes 2","Carolina Hurricanes","Limited ReportFull Report","60","90","38","70.31","73","34","68.22","47","19","71.21","2","4","33.33","4.49","2.49","64.27","52","16","76.47","22","10","68.75","11","5","68.75","0","3","0.00","0.00","40.00","30","6","83.33","17","3","85.00","1","0","100.00","5.88","100.00","34","17","66.67","15","10","60.00","1","1","50.00","6.67","90.00","4.26","78.95","0.832","13878"
"2019-11-09 - Hurricanes 1, Senators 4","Carolina Hurricanes","Limited ReportFull Report","60","67","52","56.30","49","41","54.44","39","30","56.52","1","4","20.00","2.19","2.13","50.71","28","17","62.22","8","9","47.06","7","9","43.75","0","4","0.00","0.00","55.56","20","8","71.43","10","1","90.91","0","0","-","0.00","100.00","31","29","51.67","18","19","48.65","1","0","100.00","5.56","100.00","2.56","86.67","0.892","12276"
"2019-11-11 - Senators 2, Hurricanes 8","Carolina Hurricanes","Limited ReportFull Report","60","75","50","60.00","56","37","60.22","43","29","59.72","8","2","80.00","4.44","2.61","63.01","39","24","61.90","14","9","60.87","10","7","58.82","4","1","80.00","40.00","85.71","25","15","62.50","11","6","64.71","3","0","100.00","27.27","100.00","33","16","67.35","22","10","68.75","1","1","50.00","4.55","90.00","18.60","93.10","1.117","12356"
"2019-11-14 - Hurricanes 5, Sabres 4","Carolina Hurricanes","Limited ReportFull Report","62.466666666667","48","46","51.06","37","41","47.44","29","33","46.77","5","4","55.56","1.82","2.32","43.91","28","24","53.85","6","11","35.29","6","10","37.50","3","3","50.00","50.00","70.00","22","13","62.86","11","7","61.11","2","1","66.67","18.18","85.71","16","20","44.44","10","15","40.00","0","0","-","0.00","100.00","17.24","87.88","1.051","16603"
"2019-11-16 - Hurricanes 4, Wild 3","Carolina Hurricanes","Limited ReportFull Report","61.55","45","58","43.69","35","46","43.21","28","35","44.44","4","3","57.14","1.75","2.64","39.82","17","21","44.74","10","14","41.67","7","12","36.84","2","2","50.00","28.57","83.33","7","7","50.00","5","3","62.50","1","1","50.00","20.00","66.67","18","32","36.00","13","19","40.63","1","0","100.00","7.69","100.00","14.29","91.43","1.057","17101"
"2019-11-19 - Hurricanes 4, Blackhawks 2","Carolina Hurricanes","Limited ReportFull Report","60","64","65","49.61","44","42","51.16","33","32","50.77","4","2","66.67","4.69","3.45","57.63","40","35","53.33","16","17","48.48","12","14","46.15","3","1","75.00","25.00","92.86","24","18","57.14","8","9","47.06","1","1","50.00","12.50","88.89","18","26","40.91","11","8","57.89","0","0","-","0.00","100.00","12.12","93.75","1.059","21325"
"2019-11-21 - Flyers 5, Hurricanes 3","Carolina Hurricanes","Limited ReportFull Report","60","58","47","55.24","45","33","57.69","36","23","61.02","3","5","37.50","3.78","2.3","62.24","35","22","61.40","16","9","64.00","16","7","69.57","2","2","50.00","12.50","71.43","19","13","59.38","8","5","61.54","0","1","0.00","0.00","80.00","21","20","51.22","11","8","57.89","1","1","50.00","9.09","87.50","8.33","78.26","0.866","14734"
"2019-11-23 - Panthers 2, Hurricanes 4","Carolina Hurricanes","Limited ReportFull Report","60","74","44","62.71","54","37","59.34","34","23","59.65","4","2","66.67","3.83","1.82","67.75","38","15","71.70","15","10","60.00","7","6","53.85","0","2","0.00","0.00","66.67","23","5","82.14","9","3","75.00","2","0","100.00","22.22","100.00","26","25","50.98","13","13","50.00","1","0","100.00","7.69","100.00","11.76","91.30","1.031","18159"
"2019-11-24 - Hurricanes 2, Red Wings 0","Carolina Hurricanes","Limited ReportFull Report","60","60","39","60.61","48","29","62.34","36","19","65.45","2","0","100.00","2.7","1.28","67.91","24","17","58.54","5","8","38.46","4","6","40.00","1","0","100.00","25.00","100.00","19","9","67.86","14","4","77.78","0","0","-","0.00","100.00","34","19","64.15","16","8","66.67","1","0","100.00","6.25","100.00","5.56","100.00","1.056","18726"
"2019-11-27 - Hurricanes 2, Rangers 3","Carolina Hurricanes","Limited ReportFull Report","60","80","50","61.54","58","39","59.79","43","25","63.24","2","3","40.00","3.99","4.03","49.78","37","31","54.41","21","15","58.33","18","11","62.07","2","2","50.00","11.11","81.82","16","16","50.00","8","8","50.00","0","1","0.00","0.00","87.50","33","15","68.75","14","4","77.78","0","0","-","0.00","100.00","4.65","88.00","0.927","17269"
"2019-11-29 - Predators 3, Hurricanes 0","Carolina Hurricanes","Limited ReportFull Report","60","66","45","59.46","50","38","56.82","31","28","52.54","0","3","0.00","3.18","2.89","52.43","33","22","60.00","15","10","60.00","13","8","61.90","0","2","0.00","0.00","75.00","18","12","60.00","5","7","41.67","0","1","0.00","0.00","85.71","25","18","58.14","9","10","47.37","0","0","-","0.00","100.00","0.00","89.29","0.893","18680"
"2019-11-30 - Hurricanes 3, Lightning 2","Carolina Hurricanes","Limited ReportFull Report","60","40","73","35.40","31","53","36.90","24","38","38.71","3","2","60.00","1.58","2.82","35.88","19","35","35.19","6","10","37.50","3","10","23.08","1","1","50.00","33.33","90.00","13","25","34.21","9","17","34.62","2","1","66.67","22.22","94.12","17","36","32.08","8","10","44.44","0","0","-","0.00","100.00","12.50","94.74","1.072","19092"
"2019-12-03 - Hurricanes 0, Bruins 2","Carolina Hurricanes","Limited ReportFull Report","60","49","48","50.52","39","37","51.32","24","34","41.38","0","2","0.00","1.56","1.83","45.94","18","25","41.86","7","5","58.33","4","5","44.44","0","2","0.00","0.00","60.00","11","20","35.48","5","14","26.32","0","0","-","0.00","100.00","29","22","56.86","14","15","48.28","0","0","-","0.00","100.00","0.00","94.12","0.941","17850"
"2019-12-05 - Sharks 2, Hurricanes 3","Carolina Hurricanes","Limited ReportFull Report","65","52","58","47.27","42","42","50.00","29","30","49.15","2","2","50.00","2.46","2.66","48.06","32","30","51.61","12","18","40.00","8","14","36.36","2","1","66.67","25.00","92.86","20","12","62.50","14","3","82.35","0","0","-","0.00","100.00","16","23","41.03","6","11","35.29","0","1","0.00","0.00","90.91","6.90","93.33","1.002","14275"
"2019-12-07 - Wild 2, Hurricanes 6","Carolina Hurricanes","Limited ReportFull Report","60","60","47","56.07","50","35","58.82","40","24","62.50","6","2","75.00","4.22","2.53","62.55","25","20","55.56","11","10","52.38","8","6","57.14","3","1","75.00","37.50","83.33","14","10","58.33","8","5","61.54","1","1","50.00","12.50","80.00","30","20","60.00","22","10","68.75","1","0","100.00","4.55","100.00","15.00","91.67","1.067","18680"
"2019-12-10 - Hurricanes 6, Oilers 3","Carolina Hurricanes","Limited ReportFull Report","60","62","58","51.67","47","52","47.47","32","36","47.06","6","3","66.67","2.42","3.4","41.62","26","29","47.27","8","19","29.63","7","12","36.84","3","3","50.00","42.86","75.00","18","10","64.29","10","6","62.50","2","0","100.00","20.00","100.00","30","25","54.55","12","14","46.15","0","0","-","0.00","100.00","18.75","91.67","1.104","16175"
"2019-12-12 - Hurricanes 0, Canucks 1","Carolina Hurricanes","Limited ReportFull Report","60.666666666667","64","41","60.95","51","35","59.30","43","26","62.32","0","1","0.00","2.94","2.2","57.23","32","28","53.33","12","13","48.00","10","7","58.82","0","1","0.00","0.00","85.71","20","15","57.14","14","11","56.00","0","0","-","0.00","100.00","28","11","71.79","16","7","69.57","0","0","-","0.00","100.00","0.00","96.15","0.962","18626"
"2019-12-14 - Hurricanes 4, Flames 0","Carolina Hurricanes","Limited ReportFull Report","60","61","59","50.83","44","42","51.16","31","32","49.21","4","0","100.00","3.73","2.74","57.64","36","38","48.65","15","13","53.57","10","11","47.62","1","0","100.00","10.00","100.00","21","25","45.65","11","12","47.83","3","0","100.00","27.27","100.00","23","18","56.10","10","9","52.63","0","0","-","0.00","100.00","12.90","100.00","1.129","18853"
"2019-12-17 - Hurricanes 6, Jets 3","Carolina Hurricanes","Limited ReportFull Report","60","60","51","54.05","42","41","50.60","28","33","45.90","6","3","66.67","3.28","2.98","52.35","31","29","51.67","15","12","55.56","14","9","60.87","6","2","75.00","42.86","77.78","16","17","48.48","4","11","26.67","0","1","0.00","0.00","90.91","23","19","54.76","8","10","44.44","0","0","-","0.00","100.00","21.43","90.91","1.123","15325"
"2019-12-19 - Hurricanes 3, Avalanche 1","Carolina Hurricanes","Limited ReportFull Report","60","64","56","53.33","49","39","55.68","40","28","58.82","3","1","75.00","3.64","2.94","55.29","29","31","48.33","10","12","45.45","9","9","50.00","1","1","50.00","11.11","88.89","19","19","50.00","8","7","53.33","1","0","100.00","12.50","100.00","30","20","60.00","19","11","63.33","1","0","100.00","5.26","100.00","7.50","96.43","1.039","18015"
"2019-12-21 - Panthers 4, Hurricanes 2","Carolina Hurricanes","Limited ReportFull Report","60","84","34","71.19","61","29","67.78","44","22","66.67","2","4","33.33","4.22","2.23","65.40","48","19","71.64","21","10","67.74","18","7","72.00","1","2","33.33","5.56","71.43","27","9","75.00","12","5","70.59","1","1","50.00","8.33","80.00","28","12","70.00","10","7","58.82","0","1","0.00","0.00","85.71","4.55","81.82","0.864","18224"
"2019-12-23 - Hurricanes 6, Maple Leafs 8","Carolina Hurricanes","Limited ReportFull Report","60","67","63","51.54","53","53","50.00","40","39","50.63","6","8","42.86","2.66","3.42","43.74","30","31","49.18","12","14","46.15","8","12","40.00","2","4","33.33","25.00","66.67","18","17","51.43","10","12","45.45","4","3","57.14","40.00","75.00","29","32","47.54","16","15","51.61","0","1","0.00","0.00","93.33","15.00","79.49","0.945","19176"
"2019-12-27 - Hurricanes 3, Rangers 5","Carolina Hurricanes","Limited ReportFull Report","60","74","37","66.67","59","31","65.56","42","24","63.64","3","5","37.50","4.18","2.63","61.34","35","26","57.38","14","14","50.00","9","12","42.86","1","4","20.00","11.11","66.67","21","12","63.64","9","5","64.29","2","1","66.67","22.22","80.00","35","9","79.55","22","5","81.48","0","0","-","0.00","100.00","7.14","79.17","0.863","17498"
"2019-12-28 - Capitals 4, Hurricanes 6","Carolina Hurricanes","Limited ReportFull Report","60","55","58","48.67","40","41","49.38","29","29","50.00","6","4","60.00","3.38","3.28","50.76","29","37","43.94","10","14","41.67","5","10","33.33","3","1","75.00","60.00","90.00","19","23","45.24","10","9","52.63","3","1","75.00","30.00","88.89","24","16","60.00","13","8","61.90","0","2","0.00","0.00","75.00","20.69","86.21","1.069","18680"
"2019-12-31 - Canadiens 1, Hurricanes 3","Carolina Hurricanes","Limited ReportFull Report","60","66","55","54.55","53","43","55.21","36","30","54.55","3","1","75.00","5.3","2.86","64.96","33","26","55.93","20","15","57.14","12","10","54.55","2","0","100.00","16.67","100.00","13","11","54.17","8","9","47.06","0","1","0.00","0.00","88.89","25","22","53.19","14","9","60.87","1","0","100.00","7.14","100.00","8.33","96.67","1.050","18680"
"2020-01-03 - Capitals 4, Hurricanes 3","Carolina Hurricanes","Limited ReportFull Report","60","72","43","62.61","60","39","60.61","41","29","58.57","3","4","42.86","4.6","2.59","64.03","37","21","63.79","19","12","61.29","13","8","61.90","2","3","40.00","15.38","62.50","18","9","66.67","10","8","55.56","1","1","50.00","10.00","87.50","31","17","64.58","17","11","60.71","0","0","-","0.00","100.00","7.32","86.21","0.935","18680"
"2020-01-05 - Lightning 3, Hurricanes 1","Carolina Hurricanes","Limited ReportFull Report","60","62","37","62.63","46","33","58.23","29","26","52.73","1","3","25.00","3.21","3.8","45.82","27","22","55.10","11","16","40.74","7","13","35.00","1","2","33.33","14.29","84.62","16","6","72.73","6","3","66.67","0","1","0.00","0.00","66.67","24","9","72.73","14","6","70.00","0","0","-","0.00","100.00","3.45","88.46","0.919","18015"
"2020-01-07 - Flyers 4, Hurricanes 5","Carolina Hurricanes","Limited ReportFull Report","61.933333333333","57","43","57.00","45","37","54.88","33","21","61.11","5","4","55.56","3.05","2.15","58.59","27","17","61.36","15","8","65.22","12","6","66.67","2","2","50.00","16.67","66.67","12","9","57.14","7","6","53.85","2","0","100.00","28.57","100.00","24","21","53.33","11","9","55.00","1","2","33.33","9.09","77.78","15.15","80.95","0.961","15072"
"2020-01-10 - Coyotes 0, Hurricanes 3","Carolina Hurricanes","Limited ReportFull Report","60","56","44","56.00","46","35","56.79","29","32","47.54","3","0","100.00","2.73","2.28","54.45","27","18","60.00","19","7","73.08","12","7","63.16","2","0","100.00","16.67","100.00","8","11","42.11","4","10","28.57","1","0","100.00","25.00","100.00","24","19","55.81","9","12","42.86","0","0","-","0.00","100.00","10.34","100.00","1.103","16476"
